PersonID,AddressID
1,249
2,293
3,224
4,11387
5,190
6,286
7,49
8,230
9,187
10,11386
11,32505
12,1
13,219
14,295
15,287
16,214
17,234
18,209
19,174
20,191
21,171
22,233
23,229
24,243
25,63
26,166
27,77
28,61
29,218
30,155
31,142
32,162
33,108
34,184
35,212
36,100
37,227
38,90
39,93
40,92
41,69
42,67
43,197
44,84
45,150
46,85
47,246
48,240
49,56
50,153
51,71
52,48
53,208
54,60
55,131
56,46
57,55
58,119
59,8
60,96
61,47
62,97
63,149
64,143
65,148
66,113
67,68
68,199
69,114
70,125
71,120
72,231
73,145
74,99
75,198
76,20
77,94
78,110
79,79
80,204
81,152
82,109
83,103
84,54
85,14
86,32517
87,91
88,7
89,161
90,43
91,128
92,237
93,189
94,124
95,136
96,32513
97,76
98,83
99,160
100,133
101,32514
102,121
103,32512
104,122
105,158
106,81
107,40
108,88
109,51
110,220
111,141
112,118
113,175
114,144
115,139
116,151
117,21
118,87
119,226
120,130
121,32506
122,288
123,2
124,5
125,299
126,298
127,44
128,157
129,134
130,72
131,117
132,101
133,146
134,140
135,62
136,170
137,32516
138,159
139,203
140,213
141,164
142,167
143,132
144,168
145,42
146,74
147,105
148,181
149,172
150,135
151,182
152,98
153,221
154,137
155,53
156,102
157,111
158,75
159,177
160,232
161,95
162,78
163,248
164,195
165,23
166,65
167,45
168,59
169,193
170,89
171,129
172,200
173,205
174,52
175,223
176,73
177,163
178,244
179,239
180,115
181,70
182,202
183,32521
184,80
185,82
186,165
187,241
188,86
189,64
190,123
191,112
192,32510
193,127
194,58
195,126
196,186
197,154
198,138
199,106
200,116
201,57
202,104
203,242
204,147
205,207
206,169
207,156
208,107
209,228
210,6
211,32515
212,10
213,32511
214,292
215,280
216,281
217,277
218,276
219,278
220,265
221,275
222,250
223,32518
224,188
225,50
226,247
227,285
228,258
229,263
230,289
231,261
232,257
233,291
234,296
235,178
236,259
237,266
238,254
239,252
240,235
241,256
242,245
243,262
244,253
245,32519
246,260
247,192
248,264
249,196
250,32509
251,4
252,284
253,183
254,176
255,32508
256,282
257,283
258,180
259,215
260,211
261,173
262,251
263,210
264,268
265,270
266,269
267,274
268,273
269,272
270,267
271,32520
272,271
273,279
274,216
275,38
276,27
277,24
278,33
279,29
